ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,2023-12-23,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,0.5 to 1.0
2,80,19,2024-12-25,5,The  quality  is    top-notch.,0.0,Positive,0.5 to 1.0
3,50,13,2025-01-26,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.5 to 1.0
4,78,15,2025-04-21,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.5 to 1.0
5,64,2,2023-07-16,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,0.5 to 1.0
6,81,1,2025-12-21,4,Customer  support  was  very  helpful.,0.6997,Positive,-1.0 to -0.5
7,16,1,2024-01-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,0.5 to 1.0
8,55,8,2024-08-15,5,The  quality    is  top-notch.,0.0,Positive,0.5 to 1.0
9,3,13,2023-09-01,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,-1.0 to -0.5
10,78,6,2024-06-17,5,"Excellent  product,  highly  recommend!",0.7773,Positive,-1.0 to -0.5
11,54,9,2023-07-17,4,"Great  purchase,  very  satisfied.",0.8016,Positive,-1.0 to -0.5
12,77,2,2025-01-13,2,Product  did    not  meet  my  expectations.,0.0,Negative,0.5 to 1.0
13,93,6,2024-08-20,5,"Great  purchase,  very  satisfied.",0.8016,Positive,-1.0 to -0.5
14,23,2,2025-06-16,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.5 to 1.0
15,29,11,2023-01-27,5,"Great  purchase,  very  satisfied.",0.8016,Positive,-1.0 to -0.5
16,95,17,2023-01-06,5,"Excellent  product,  highly  recommend!",0.7773,Positive,-1.0 to -0.5
17,88,4,2025-10-29,3,Not  worth  the  money.,-0.1695,Mixed Negative,0.5 to 1.0
18,17,16,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.5 to 1.0
19,34,13,2024-01-04,4,The  quality  is  top-notch.,0.0,Positive,0.5 to 1.0
20,34,6,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,0.5 to 1.0
21,22,15,2023-04-08,5,Amazing  value  for  the  price.,0.7351,Positive,-1.0 to -0.5
22,52,3,2025-10-30,4,The  quality  is  top-notch.,0.0,Positive,0.5 to 1.0
23,69,18,2023-07-02,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.5 to 1.0
24,100,4,2025-07-18,3,"I  love  this    product,  will  buy  again!",0.6696,Mixed Positive,-1.0 to -0.5
25,55,20,2024-12-19,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.5 to 1.0
26,76,11,2024-08-21,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.5 to 1.0
27,56,6,2025-11-24,4,The  quality  is  top-notch.,0.0,Positive,0.5 to 1.0
28,76,8,2025-05-27,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.5 to 1.0
29,38,13,2023-05-31,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,-1.0 to -0.5
30,84,6,2024-03-18,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.5 to 1.0
31,93,4,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0.2382,Mixed Positive,0.5 to 1.0
32,91,1,2023-07-15,4,The  quality  is  top-notch.,0.0,Positive,0.5 to 1.0
33,30,2,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.5 to 1.0
34,81,15,2024-03-30,5,"Excellent  product,  highly  recommend!",0.7773,Positive,-1.0 to -0.5
